PrName,Out.SubInd,vote_mean,posT_negC,positive_strong,positive,neutral,negative,negative_strong,posC_negT,N.Obs,N.Studies
Rotation,Returns to Labour,1.68518518518519,0,40,12,1,1,0,0,54,1
Rotation,Benefit Cost Ratio,-0.553378378378378,0,8,19,11,4,0,0,42,13
Rotation,Cost,1.55421686746988,0,12,30,24,3,0,0,69,18
Rotation,Net Present Value,1.6004,2,3,0,0,0,0,0,5,1
Rotation,Internal Rate of Return,2,0,5,0,0,0,0,0,5,1
Rotation,Payback Period,2,0,5,0,0,0,0,0,5,1
Controlled Grazing,Gross Revenue,0.5,0,0,1,1,0,0,0,2,1
Controlled Grazing,Cost,1,0,1,0,1,0,0,0,2,1
Controlled Grazing,Profit,0.5,0,0,1,1,0,0,0,2,1
Controlled Grazing,Benefit Cost Ratio,-0.5,0,0,0,1,1,0,0,2,1
Reduced Fert,Gross Revenue,0.0938771402280719,0,55,66,123,129,29,0,402,37
Reduced Fert,Profit,-0.137967781853232,22,77,91,114,185,76,21,586,45
Reduced Fert,Labour Cost,0.5,0,2,12,10,0,0,0,24,4
Reduced Fert,Benefit Cost Ratio,0.0327058339714683,0,59,103,151,148,39,0,500,42
Reduced Fert,Returns to Labour,-0.666666666666667,0,0,4,0,12,2,0,18,1
Reduced Fert,Cost,-0.0501104188604189,0,28,60,197,130,15,0,430,43
Reduced Fert,Net Present Value,-0.499666666666667,2,0,0,0,3,1,0,6,1
Reduced Fert,Marginal Rate of Return,0.666809523809524,2,3,1,1,1,1,0,9,2
Reduced Fert,Return to Labour,0.5,0,1,1,1,1,0,0,4,1
Controlled Release Fert,Gross Revenue,-0.416666666666667,0,0,0,7,5,0,0,12,2
Controlled Release Fert,Profit,-0.333333333333333,0,0,0,8,4,0,0,12,2
Controlled Release Fert,Labour Cost,0,0,0,0,6,0,0,0,6,1
Controlled Release Fert,Benefit Cost Ratio,-0.375,0,0,0,8,6,0,0,14,2
Controlled Release Fert,Cost,-0.25,0,0,0,7,1,0,0,8,2
IPM,Profit,0.0280119047619048,1,6,4,1,7,6,0,25,6
IPM,Gross Revenue,0.347222222222222,0,1,2,3,7,3,0,16,5
IPM,Cost,0.666666666666667,0,1,3,10,1,0,0,15,4
IPM,Labour Cost,0.666666666666667,0,0,2,1,0,0,0,3,1
IPM,Benefit Cost Ratio,-0.875,0,0,6,0,8,3,0,17,3
Cover Crops,Returns to Labour,1.40740740740741,0,12,14,1,0,0,0,27,1
Cover Crops,Gross Revenue,0.734386363636364,0,17,8,18,6,0,0,49,12
Cover Crops,Profit,0.215720779220779,1,21,14,9,16,1,0,62,15
Cover Crops,Cost,0.633997252747253,0,13,8,26,12,0,0,59,14
Cover Crops,Labour Cost,-0.147058823529412,0,0,2,3,0,1,0,6,2
Cover Crops,Benefit Cost Ratio,-0.730263157894737,0,1,11,16,9,1,0,38,11
Cover Crops,Return on Investment,1,0,0,2,0,0,0,0,2,1
Cover Crops,Internal Rate of Return,1.001,5,0,0,0,0,0,0,5,1
Cover Crops,Net Present Value,1.001,5,0,0,0,0,0,0,5,1
Organic Fert,Gross Revenue,0.84955044955045,0,82,50,36,5,3,0,176,22
Organic Fert,Profit,0.64541718377995,3,102,60,38,25,14,1,243,27
Organic Fert,Cost,0.53047052154195,0,44,63,66,3,0,0,176,24
Organic Fert,Labour Cost,0.589285714285714,0,4,3,3,0,0,0,10,2
Organic Fert,Benefit Cost Ratio,0.143471887239744,0,86,68,63,20,6,1,244,23
Organic Fert,Net Present Value,2,0,1,0,0,0,0,0,1,1
Organic Fert,Internal Rate of Return,2,0,1,0,0,0,0,0,1,1
Organic Fert,Payback Period,2,0,1,0,0,0,0,0,1,1
Organic Fert,Return to Labour,-1.0005,0,0,0,0,1,0,1,2,1
Organic Fert,Marginal Rate of Return,0.546,6,1,0,3,0,1,0,11,1
All Nbs,Cost,0.451993228502717,6,169,320,775,305,30,0,1605,158
All Nbs,Profit,0.483345336179548,88,531,518,477,386,137,58,2195,182
All Nbs,Gross Revenue,0.532112617288316,0,266,335,558,250,33,0,1442,138
All Nbs,Labour Cost,0.053030303030303,0,11,26,20,0,2,0,59,11
All Nbs,Benefit Cost Ratio,-0.0565988996793756,6,252,487,674,358,77,2,1856,138
All Nbs,Returns to Labour,1.18181818181818,0,52,30,2,13,2,0,99,1
All Nbs,Labour Cost per Asset,1.5,0,18,1,0,0,0,0,19,2
All Nbs,Marginal Rate of Return,0.415730769230769,7,7,1,3,1,5,0,24,4
All Nbs,Present Value of Benefit,2,0,4,0,0,0,0,0,4,2
All Nbs,Present Value of Cost,0.2,0,1,0,3,0,0,0,4,2
All Nbs,Net Present Value,0.916485303617571,11,37,22,0,4,3,0,77,7
All Nbs,Return on Investment,1.57142857142857,0,2,2,0,0,0,0,4,2
All Nbs,Internal Rate of Return,1.06442063492063,5,8,1,0,0,0,0,14,2
All Nbs,Payback Period,2,0,9,0,0,0,0,0,9,1
All Nbs,Fixed Cost,0,0,0,0,4,0,0,0,4,1
All Nbs,Return to Labour,-0.12525,0,1,1,2,2,0,2,8,1
