PrName,Out.SubInd,N.Obs,N.Studies,vote_mean,variable,value,direction
Intercropping,Profit,201,16,0.715082948717949,posT_negC,21,positive
Intercropping,Benefit Cost Ratio,118,13,0.24280303030303,posT_negC,0,positive
Intercropping+Rotation,Gross Revenue,7,3,1.5,posT_negC,0,positive
Rotation,Gross Revenue,21,9,1.00572519083969,posT_negC,0,positive
Intercropping+Rotation,Profit,9,4,0.970588235294118,posT_negC,0,positive
Rotation,Profit,56,17,0.590574297188755,posT_negC,2,positive
Reduced Irrigation,Gross Revenue,91,15,0.28562091503268,posT_negC,0,positive
Reduced Irrigation,Profit,111,19,0.418806878306878,posT_negC,6,positive
Reduced Irrigation,Benefit Cost Ratio,94,13,0.279259259259259,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage,Benefit Cost Ratio,90,10,0.505128205128205,posT_negC,0,positive
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Gross Revenue,2,1,0.5,posT_negC,0,positive
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Cost,2,1,1,posT_negC,0,positive
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Profit,2,1,0.5,posT_negC,0,positive
Agroforestry,Profit,36,9,-0.212649425287356,posT_negC,1,positive
Agroforestry,Benefit Cost Ratio,73,6,0.2975,posT_negC,0,positive
Agroforestry+Reduced Irrigation,Gross Revenue,4,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Irrigation,Profit,4,1,1,posT_negC,0,positive
Agroforestry+Reduced Irrigation,Cost,8,1,0,posT_negC,0,positive
Reduced Irrigation,Cost,95,17,0.103508771929825,posT_negC,0,positive
Residue/Mulch,Cost,179,36,0.304019283746556,posT_negC,5,positive
Reduced Fert,Gross Revenue,273,31,-0.116464998632759,posT_negC,0,positive
Controlled Release Fert+Reduced Tillage,Gross Revenue,6,1,-0.833333333333333,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Profit,66,4,-0.517361111111111,posT_negC,3,positive
Reduced Fert,Profit,341,37,-0.281331953036066,posT_negC,10,positive
Controlled Release Fert,Profit,8,2,-0.5,posT_negC,0,positive
Controlled Release Fert+Reduced Tillage,Profit,2,1,0,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Labour Cost,6,1,0,posT_negC,0,positive
Controlled Release Fert+Reduced Tillage,Labour Cost,2,1,0,posT_negC,0,positive
Controlled Release Fert,Labour Cost,4,1,0,posT_negC,0,positive
Reduced Fert,Benefit Cost Ratio,287,34,-0.0381295289855072,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Benefit Cost Ratio,42,3,-0.240740740740741,posT_negC,0,positive
Controlled Release Fert+Reduced Tillage,Benefit Cost Ratio,8,1,-0.75,posT_negC,0,positive
IPM,Profit,9,4,-0.111111111111111,posT_negC,0,positive
Rotation,Returns to Labour,54,1,1.68518518518519,posT_negC,0,positive
Reduced Fert,Returns to Labour,18,1,-0.666666666666667,posT_negC,0,positive
Cover Crops+Intercropping,Returns to Labour,27,1,1.40740740740741,posT_negC,0,positive
Intercropping,Cost,109,12,0.721358024691358,posT_negC,0,positive
Reduced Fert,Cost,280,34,-0.0725071225071225,posT_negC,0,positive
Intercropping+Reduced Tillage,Gross Revenue,8,3,0.7,posT_negC,0,positive
Intercropping+Reduced Tillage,Labour Cost per Asset,1,1,1,posT_negC,0,positive
Rotation,Benefit Cost Ratio,23,9,-0.68796992481203,posT_negC,0,positive
Reduced Erosion,Profit,21,4,0.706147058823529,posT_negC,1,positive
Reduced Erosion,Benefit Cost Ratio,25,4,0.647058823529412,posT_negC,0,positive
Reduced Erosion+Organic Fert,Gross Revenue,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Gross Revenue,1,1,2,posT_negC,0,positive
Reduced Erosion+Organic Fert,Profit,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Profit,1,1,1,posT_negC,0,positive
Reduced Erosion+Organic Fert,Cost,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Cost,1,1,2,posT_negC,0,positive
Organic Fert,Labour Cost,4,1,1.5,posT_negC,0,positive
Reduced Fert+Organic Fert,Labour Cost,6,2,0.535714285714286,posT_negC,0,positive
Reduced Erosion,Labour Cost,6,1,1.66666666666667,posT_negC,0,positive
Organic Fert,Cost,97,16,1.05816993464052,posT_negC,0,positive
Reduced Fert+Organic Fert,Cost,39,10,0.151351351351351,posT_negC,0,positive
Reduced Erosion,Cost,11,3,0.416666666666667,posT_negC,0,positive
Organic Fert,Gross Revenue,95,15,1.25260416666667,posT_negC,0,positive
Reduced Fert+Organic Fert,Gross Revenue,41,8,0.398387096774194,posT_negC,0,positive
Reduced Erosion,Gross Revenue,11,3,0.916666666666667,posT_negC,0,positive
Organic Fert,Profit,132,20,0.988925081433225,posT_negC,2,positive
Reduced Fert+Organic Fert,Profit,52,9,0.192197452229299,posT_negC,0,positive
Intercropping,Marginal Rate of Return,8,2,-0.857142857142857,posT_negC,0,positive
Intercropping,Labour Cost per Asset,18,1,2,posT_negC,0,positive
Reduced Tillage,Marginal Rate of Return,1,1,1.001,posT_negC,1,positive
Biochar+Reduced Fert,Gross Revenue,7,2,0.5,posT_negC,0,positive
Biochar+Reduced Fert,Profit,19,3,0.583333333333333,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Profit,1,1,-1,posT_negC,0,positive
IPM,Gross Revenue,6,3,0.0476190476190476,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Gross Revenue,1,1,-1,posT_negC,0,positive
IPM,Cost,6,3,1.02380952380952,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Cost,1,1,1,posT_negC,0,positive
IPM,Labour Cost,2,1,0.5,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Labour Cost,1,1,1,posT_negC,0,positive
Biochar,Cost,91,10,0.770161290322581,posT_negC,0,positive
Agroforestry+Organic Fert,Profit,1,1,-1,posT_negC,0,positive
Agroforestry,Cost,32,8,-0.294871794871795,posT_negC,0,positive
Agroforestry+Organic Fert,Cost,1,1,-1,posT_negC,0,positive
Agroforestry+Reduced Fert,Profit,3,2,-1,posT_negC,0,positive
Agroforestry+Reduced Fert,Cost,3,2,-0.625,posT_negC,0,positive
Cover Crops+Residue/Mulch,Cost,11,3,0,posT_negC,0,positive
Cover Crops+Residue/Mulch,Gross Revenue,9,2,0.4375,posT_negC,0,positive
Cover Crops+Residue/Mulch,Profit,11,3,1.33333333333333,posT_negC,0,positive
Cover Crops+Residue/Mulch,Benefit Cost Ratio,9,2,0.4375,posT_negC,0,positive
"",Profit,12,3,0.500333333333333,posT_negC,3,positive
"",Cost,9,2,-0.666666666666667,posT_negC,0,positive
"",Gross Revenue,9,2,0.25,posT_negC,0,positive
IPM,Benefit Cost Ratio,8,2,-0.5,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Profit,53,4,-0.245025793650794,posT_negC,7,positive
Reduced Fert+Reduced Tillage+Residue/Mulch,Profit,18,1,0.333444444444444,posT_negC,2,positive
Residue/Mulch,Present Value of Benefit,2,1,2,posT_negC,0,positive
Residue/Mulch,Present Value of Cost,2,1,0,posT_negC,0,positive
Residue/Mulch,Net Present Value,2,1,2,posT_negC,0,positive
Residue/Mulch,Return on Investment,2,1,2,posT_negC,0,positive
Cover Crops,Cost,31,8,0.690697674418605,posT_negC,0,positive
Cover Crops,Gross Revenue,33,7,0.705585980284775,posT_negC,0,positive
Cover Crops,Profit,28,9,0.131111111111111,posT_negC,0,positive
Cover Crops,Benefit Cost Ratio,23,7,-0.786144578313253,posT_negC,0,positive
Reduced Fert+Reduced Irrigation,Cost,9,1,0.333333333333333,posT_negC,0,positive
Reduced Fert+Reduced Irrigation,Profit,9,1,-0.666666666666667,posT_negC,0,positive
Rotation,Cost,37,12,1.70454545454545,posT_negC,0,positive
Organic Fert,Benefit Cost Ratio,127,17,0.232742937853107,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Cost,9,2,0.125,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Gross Revenue,4,1,1.75,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Profit,17,4,0.617647058823529,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Benefit Cost Ratio,4,1,1.5,posT_negC,0,positive
Cover Crops+Reduced Fert,Cost,1,1,0,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Rotation,Profit,2,1,2,posT_negC,0,positive
Reduced Irrigation+Rotation,Profit,4,1,0.5,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Gross Revenue,38,2,0.111111111111111,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Cost,38,2,-0.416666666666667,posT_negC,0,positive
Intercropping+Rotation,Cost,8,4,0.764705882352941,posT_negC,0,positive
Biochar+Reduced Fert,Cost,19,3,-0.527777777777778,posT_negC,0,positive
Residue/Mulch+Rotation,Profit,7,3,1.55,posT_negC,0,positive
Agroforestry+Intercropping+Reduced Tillage,Gross Revenue,2,1,1.5,posT_negC,0,positive
Reduced Fert+Intercropping+Reduced Tillage,Gross Revenue,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Gross Revenue,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Tillage,Gross Revenue,2,1,-0.5,posT_negC,0,positive
Agroforestry+Reduced Fert+Reduced Tillage,Gross Revenue,2,1,-1,posT_negC,0,positive
Agroforestry+Reduced Fert,Gross Revenue,2,1,-1,posT_negC,0,positive
Intercropping+Reduced Tillage,Cost,6,2,0.625,posT_negC,0,positive
Agroforestry+Intercropping+Reduced Tillage,Cost,2,1,1,posT_negC,0,positive
Reduced Fert+Intercropping+Reduced Tillage,Cost,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Cost,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Tillage,Cost,2,1,-1,posT_negC,0,positive
Agroforestry+Reduced Fert+Reduced Tillage,Cost,2,1,-1,posT_negC,0,positive
Intercropping+Reduced Tillage,Profit,6,2,1.375,posT_negC,0,positive
Agroforestry+Intercropping+Reduced Tillage,Profit,2,1,1.5,posT_negC,0,positive
Reduced Fert+Intercropping+Reduced Tillage,Profit,2,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Profit,2,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Tillage,Profit,2,1,0,posT_negC,0,positive
Agroforestry+Reduced Fert+Reduced Tillage,Profit,2,1,-1.5,posT_negC,0,positive
Organic Fert+Residue/Mulch,Gross Revenue,1,1,1,posT_negC,0,positive
Organic Fert+Reduced Tillage,Gross Revenue,7,2,0.571428571428571,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Gross Revenue,1,1,1,posT_negC,0,positive
Organic Fert+Residue/Mulch,Cost,1,1,1,posT_negC,0,positive
Organic Fert+Reduced Tillage,Cost,7,2,0,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Cost,1,1,1,posT_negC,0,positive
Reduced Fert+Organic Fert,Benefit Cost Ratio,51,8,0.337096774193548,posT_negC,0,positive
Controlled Release Fert,Gross Revenue,4,1,0,posT_negC,0,positive
Controlled Release Fert+Reduced Fert,Gross Revenue,2,1,0,posT_negC,0,positive
Controlled Release Fert,Cost,4,1,0,posT_negC,0,positive
Controlled Release Fert+Reduced Fert,Cost,2,1,0,posT_negC,0,positive
Biochar,Benefit Cost Ratio,86,9,-0.604166666666667,posT_negC,0,positive
Biochar+Reduced Fert,Benefit Cost Ratio,45,4,-0.5625,posT_negC,0,positive
Agroforestry,Net Present Value,53,3,-0.286981481481482,posT_negC,1,positive
Cover Crops+Reduced Tillage+Residue/Mulch,Cost,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Cost,5,2,-0.5,posT_negC,0,positive
Cover Crops+Reduced Tillage+Residue/Mulch,Profit,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Profit,5,2,0.125,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+IPM+Reduced Irrigation+Organic Fert+Residue/Mulch+Rotation,Gross Revenue,1,1,2,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+IPM+Reduced Irrigation+Organic Fert+Residue/Mulch+Rotation,Profit,7,1,1.42871428571429,posT_negC,1,positive
Cover Crops+Reduced Fert+Reduced Tillage,Gross Revenue,2,1,-0.5,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Gross Revenue,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage,Cost,2,1,0,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Cost,1,1,-1,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage,Profit,2,1,-1,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Profit,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Tillage,Gross Revenue,1,1,-1,posT_negC,0,positive
Cover Crops+Reduced Tillage,Cost,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Tillage,Profit,1,1,-1,posT_negC,0,positive
Reduced Erosion+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Profit,2,1,0.375,posT_negC,0,positive
Reduced Erosion+Reduced Irrigation+Organic Fert+Reduced Tillage+Residue/Mulch,Profit,3,1,-0.153846153846154,posT_negC,0,positive
Residue/Mulch,Labour Cost,5,2,1.5,posT_negC,0,positive
Reduced Tillage+Rotation,Net Present Value,2,1,2,posT_negC,0,positive
Reduced Tillage+Rotation,Internal Rate of Return,2,1,2,posT_negC,0,positive
Intercropping+Reduced Tillage,Net Present Value,3,1,1.66666666666667,posT_negC,0,positive
Intercropping+Reduced Tillage,Internal Rate of Return,3,1,1.66666666666667,posT_negC,0,positive
Intercropping+Reduced Tillage,Payback Period,3,1,2,posT_negC,0,positive
Reduced Tillage+Rotation,Payback Period,2,1,2,posT_negC,0,positive
Intercropping+Reduced Tillage+Rotation,Net Present Value,1,1,1.001,posT_negC,1,positive
Rotation,Net Present Value,2,1,1.5005,posT_negC,1,positive
Intercropping+Reduced Tillage+Rotation,Internal Rate of Return,1,1,2,posT_negC,0,positive
Rotation,Internal Rate of Return,2,1,2,posT_negC,0,positive
Intercropping+Reduced Tillage+Rotation,Payback Period,1,1,2,posT_negC,0,positive
Rotation,Payback Period,2,1,2,posT_negC,0,positive
Intercropping+Organic Fert+Reduced Tillage,Net Present Value,1,1,2,posT_negC,0,positive
Intercropping+Organic Fert+Reduced Tillage,Internal Rate of Return,1,1,2,posT_negC,0,positive
Intercropping+Organic Fert+Reduced Tillage,Payback Period,1,1,2,posT_negC,0,positive
Residue/Mulch+Rotation,Gross Revenue,2,1,0,posT_negC,0,positive
Residue/Mulch+Rotation,Cost,6,2,0.5,posT_negC,0,positive
Reduced Tillage,Fixed Cost,4,1,0,posT_negC,0,positive
Intercropping+Reduced Tillage+Residue/Mulch,Cost,4,1,0.25,posT_negC,0,positive
Intercropping+Reduced Tillage+Residue/Mulch,Gross Revenue,4,1,1.5,posT_negC,0,positive
Intercropping+Reduced Tillage+Residue/Mulch,Profit,10,2,0.424242424242424,posT_negC,0,positive
Cover Crops,Return on Investment,2,1,1,posT_negC,0,positive
Reduced Fert,Net Present Value,6,1,-0.499666666666667,posT_negC,2,positive
Intercropping,Net Present Value,1,1,1.001,posT_negC,1,positive
"",Benefit Cost Ratio,10,3,0.722222222222222,posT_negC,0,positive
"",Net Present Value,1,1,2,posT_negC,0,positive
Reduced Irrigation,Labour Cost,1,1,-2,posT_negC,0,positive
Reduced Fert,Marginal Rate of Return,4,2,1.23809523809524,posT_negC,0,positive
Reduced Fert,Labour Cost,12,1,0.916666666666667,posT_negC,0,positive
Residue/Mulch,Return to Labour,2,1,-0.5005,posT_negC,0,positive
Organic Fert,Return to Labour,2,1,-1.0005,posT_negC,0,positive
Reduced Fert,Return to Labour,4,1,0.5,posT_negC,0,positive
Reduced Fert+Intercropping,Gross Revenue,2,1,2,posT_negC,0,positive
Reduced Fert+Intercropping,Cost,2,1,-1,posT_negC,0,positive
Reduced Fert+Intercropping,Profit,2,1,0.5,posT_negC,0,positive
Reduced Fert+Intercropping,Benefit Cost Ratio,4,1,1.5,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Gross Revenue,8,1,-1.375,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Profit,8,1,-1.75,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Cost,8,1,0,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage,Cost,4,1,-1,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch+Rotation,Cost,8,1,0,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage,Profit,4,1,-1,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch+Rotation,Profit,8,1,2,posT_negC,0,positive
Agroforestry,Present Value of Benefit,2,1,2,posT_negC,0,positive
Agroforestry,Present Value of Cost,2,1,1,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Cost,16,3,-0.5,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Gross Revenue,16,3,-0.391666666666667,posT_negC,0,positive
Reduced Erosion+Reduced Fert,Cost,3,1,-0.333333333333333,posT_negC,0,positive
Reduced Erosion+Reduced Fert,Gross Revenue,3,1,0.666666666666667,posT_negC,0,positive
Reduced Erosion+Reduced Fert,Benefit Cost Ratio,6,1,1,posT_negC,0,positive
Reduced Erosion+Reduced Fert,Profit,3,1,1,posT_negC,0,positive
Reduced Erosion+Residue/Mulch,Cost,6,1,1.33333333333333,posT_negC,0,positive
Reduced Erosion+Residue/Mulch,Profit,6,1,1,posT_negC,0,positive
Organic Fert,Marginal Rate of Return,6,1,0.667333333333333,posT_negC,4,positive
Reduced Fert+Organic Fert,Marginal Rate of Return,5,1,0.4004,posT_negC,2,positive
Organic Fert+Reduced Tillage,Profit,7,2,0.571428571428571,posT_negC,0,positive
Organic Fert+Reduced Tillage,Benefit Cost Ratio,13,2,0.571428571428571,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,25,3,1.11818181818182,posT_negC,0,positive
Reduced Fert+Organic Fert+Residue/Mulch,Cost,1,1,0,posT_negC,0,positive
Reduced Fert+Organic Fert+Residue/Mulch,Gross Revenue,1,1,0,posT_negC,0,positive
Reduced Fert+Organic Fert+Residue/Mulch,Profit,1,1,0,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Benefit Cost Ratio,24,3,-0.15,posT_negC,0,positive
Reduced Fert+Organic Fert+Residue/Mulch,Benefit Cost Ratio,2,1,0,posT_negC,0,positive
Biochar+Reduced Fert+Intercropping,Benefit Cost Ratio,18,1,0.166666666666667,posT_negC,0,positive
Biochar+Organic Fert,Cost,20,1,1.65,posT_negC,0,positive
Biochar+Organic Fert,Gross Revenue,20,1,2,posT_negC,0,positive
Biochar+Organic Fert,Benefit Cost Ratio,40,1,1.875,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Profit,2,2,1,posT_negC,0,positive
Intercropping+Organic Fert+Reduced Tillage+Residue/Mulch,Profit,2,1,1.5,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch+Rotation,Profit,2,1,1.5,posT_negC,0,positive
Intercropping+Organic Fert,Profit,2,1,2,posT_negC,0,positive
Organic Fert+Rotation,Profit,2,1,2,posT_negC,0,positive
Intercropping+Rotation,Benefit Cost Ratio,12,3,0.8,posT_negC,0,positive
Cover Crops,Labour Cost,5,1,-0.2,posT_negC,0,positive
Cover Crops,Internal Rate of Return,5,1,1.001,posT_negC,5,positive
Cover Crops,Net Present Value,5,1,1.001,posT_negC,5,positive
Controlled Release Fert+Reduced Tillage,Cost,2,1,-0.5,posT_negC,0,positive
Organic Fert+Residue/Mulch,Profit,1,1,1,posT_negC,0,positive
Controlled Release Fert+Reduced Fert,Profit,2,1,0,posT_negC,0,positive
Biochar+Organic Fert,Profit,20,1,2,posT_negC,0,positive
Reduced Erosion+Reduced Tillage,Benefit Cost Ratio,6,1,1.5,posT_negC,0,positive
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Benefit Cost Ratio,2,1,-0.5,posT_negC,0,positive
Agroforestry+Reduced Irrigation,Benefit Cost Ratio,4,1,2,posT_negC,0,positive
Reduced Erosion+Organic Fert,Benefit Cost Ratio,1,1,-1,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+Rotation,Benefit Cost Ratio,1,1,-1,posT_negC,0,positive
Cover Crops+IPM+Residue/Mulch,Benefit Cost Ratio,1,1,-1,posT_negC,0,positive
Intercropping+Reduced Tillage,Benefit Cost Ratio,6,2,1.25,posT_negC,0,positive
Agroforestry+Intercropping+Reduced Tillage,Benefit Cost Ratio,2,1,1,posT_negC,0,positive
Reduced Fert+Intercropping+Reduced Tillage,Benefit Cost Ratio,2,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Benefit Cost Ratio,2,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Tillage,Benefit Cost Ratio,2,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Fert+Reduced Tillage,Benefit Cost Ratio,2,1,-0.5,posT_negC,0,positive
Agroforestry+Reduced Fert,Benefit Cost Ratio,2,1,-1,posT_negC,0,positive
Organic Fert+Residue/Mulch,Benefit Cost Ratio,1,1,0,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,1,1,1,posT_negC,0,positive
Controlled Release Fert,Benefit Cost Ratio,4,1,0,posT_negC,0,positive
Controlled Release Fert+Reduced Fert,Benefit Cost Ratio,2,1,0,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage,Benefit Cost Ratio,2,1,-0.5,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Tillage,Benefit Cost Ratio,1,1,-1,posT_negC,0,positive
Residue/Mulch+Rotation,Benefit Cost Ratio,2,1,0,posT_negC,0,positive
Intercropping+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,4,1,1.75,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Benefit Cost Ratio,8,1,-1.375,posT_negC,0,positive
All Nbs,Cost,1605,158,0.451993228502717,posT_negC,6,positive
All Nbs,Profit,2195,182,0.483345336179548,posT_negC,88,positive
All Nbs,Gross Revenue,1442,138,0.532112617288316,posT_negC,0,positive
All Nbs,Labour Cost,59,11,0.053030303030303,posT_negC,0,positive
All Nbs,Benefit Cost Ratio,1856,138,-0.0565988996793756,posT_negC,6,positive
All Nbs,Returns to Labour,99,1,1.18181818181818,posT_negC,0,positive
All Nbs,Labour Cost per Asset,19,2,1.5,posT_negC,0,positive
All Nbs,Marginal Rate of Return,24,4,0.415730769230769,posT_negC,7,positive
All Nbs,Present Value of Benefit,4,2,2,posT_negC,0,positive
All Nbs,Present Value of Cost,4,2,0.2,posT_negC,0,positive
All Nbs,Net Present Value,77,7,0.916485303617571,posT_negC,11,positive
All Nbs,Return on Investment,4,2,1.57142857142857,posT_negC,0,positive
All Nbs,Internal Rate of Return,14,2,1.06442063492063,posT_negC,5,positive
All Nbs,Payback Period,9,1,2,posT_negC,0,positive
All Nbs,Fixed Cost,4,1,0,posT_negC,0,positive
All Nbs,Return to Labour,8,1,-0.12525,posT_negC,0,positive
Improved Livestock Diet,Cost,1,1,2,positive_strong,1,positive
Improved Livestock Diet,Profit,1,1,2,positive_strong,1,positive
Reduced Tillage,Cost,204,45,-0.443352601156069,positive_strong,0,positive
Reduced Erosion+Reduced Tillage,Cost,6,1,-1,positive_strong,0,positive
Reduced Tillage,Gross Revenue,180,38,-0.0495379072681704,positive_strong,4,positive
Reduced Erosion+Reduced Tillage,Gross Revenue,6,1,0.5,positive_strong,1,positive
Reduced Tillage,Profit,267,49,0.475297397945391,positive_strong,37,positive
Reduced Erosion+Reduced Tillage,Profit,6,1,1.16683333333333,positive_strong,2,positive
Reduced Tillage,Labour Cost,3,2,1,positive_strong,0,positive
Reduced Erosion+Reduced Tillage,Labour Cost,2,1,1,positive_strong,0,positive
Biochar,Gross Revenue,79,9,0.420386904761905,positive_strong,9,positive
Biochar,Profit,91,10,0.368279569892473,positive_strong,7,positive
Agroforestry,Gross Revenue,29,7,0.11969696969697,positive_strong,7,positive
Intercropping+Residue/Mulch,Profit,3,1,1,positive_strong,0,positive
Reduced Erosion+Reduced Tillage+Residue/Mulch,Profit,3,1,1,positive_strong,0,positive
