PrName,Out.SubInd,vote_mean,posT_negC,positive_strong,positive,neutral,negative,negative_strong,posC_negT,N.Obs,N.Studies
Agroforestry+Reduced Irrigation,Cost,0,0,4,0,0,0,4,0,8,1
Reduced Irrigation,Cost,0.103508771929825,0,2,2,87,4,0,0,95,17
Residue/Mulch,Cost,0.304019283746556,5,3,44,116,11,0,0,179,36
Reduced Fert,Gross Revenue,-0.116464998632759,0,28,29,83,107,26,0,273,31
Controlled Release Fert+Reduced Tillage,Gross Revenue,-0.833333333333333,0,0,0,1,5,0,0,6,1
Reduced Fert+Reduced Tillage,Profit,-0.517361111111111,3,24,7,8,14,7,3,66,4
Reduced Fert,Profit,-0.281331953036066,10,31,34,79,129,44,14,341,37
Controlled Release Fert,Profit,-0.5,0,0,0,4,4,0,0,8,2
Controlled Release Fert+Reduced Tillage,Profit,0,0,0,0,2,0,0,0,2,1
Reduced Fert+Reduced Tillage,Labour Cost,0,0,0,0,6,0,0,0,6,1
Controlled Release Fert+Reduced Tillage,Labour Cost,0,0,0,0,2,0,0,0,2,1
Controlled Release Fert,Labour Cost,0,0,0,0,4,0,0,0,4,1
Reduced Fert,Benefit Cost Ratio,-0.0381295289855072,0,22,45,111,97,12,0,287,34
Reduced Fert+Reduced Tillage,Benefit Cost Ratio,-0.240740740740741,0,19,9,8,4,2,0,42,3
Controlled Release Fert+Reduced Tillage,Benefit Cost Ratio,-0.75,0,0,0,2,6,0,0,8,1
IPM,Profit,-0.111111111111111,0,1,4,1,3,0,0,9,4
Rotation,Returns to Labour,1.68518518518519,0,40,12,1,1,0,0,54,1
Reduced Fert,Returns to Labour,-0.666666666666667,0,0,4,0,12,2,0,18,1
Cover Crops+Intercropping,Returns to Labour,1.40740740740741,0,12,14,1,0,0,0,27,1
Intercropping,Cost,0.721358024691358,0,12,51,42,4,0,0,109,12
Reduced Fert,Cost,-0.0725071225071225,0,24,28,124,92,12,0,280,34
Intercropping+Reduced Tillage,Gross Revenue,0.7,0,3,3,1,1,0,0,8,3
Intercropping+Reduced Tillage,Labour Cost per Asset,1,0,0,1,0,0,0,0,1,1
Rotation,Benefit Cost Ratio,-0.68796992481203,0,4,8,8,3,0,0,23,9
Reduced Erosion,Profit,0.706147058823529,1,2,12,1,3,1,1,21,4
Reduced Erosion,Benefit Cost Ratio,0.647058823529412,0,1,16,3,5,0,0,25,4
Reduced Erosion+Organic Fert,Gross Revenue,0,0,0,0,1,0,0,0,1,1
Cover Crops+Reduced Erosion+Intercropping+Rotation,Gross Revenue,2,0,1,0,0,0,0,0,1,1
Reduced Erosion+Organic Fert,Profit,0,0,0,0,1,0,0,0,1,1
Cover Crops+Reduced Erosion+Intercropping+Rotation,Profit,1,0,0,1,0,0,0,0,1,1
Reduced Erosion+Organic Fert,Cost,1,0,0,1,0,0,0,0,1,1
Cover Crops+Reduced Erosion+Intercropping+Rotation,Cost,2,0,1,0,0,0,0,0,1,1
Organic Fert,Labour Cost,1.5,0,2,2,0,0,0,0,4,1
Reduced Fert+Organic Fert,Labour Cost,0.535714285714286,0,2,1,3,0,0,0,6,2
Reduced Erosion,Labour Cost,1.66666666666667,0,4,2,0,0,0,0,6,1
Organic Fert,Cost,1.05816993464052,0,29,44,24,0,0,0,97,16
Reduced Fert+Organic Fert,Cost,0.151351351351351,0,2,9,26,2,0,0,39,10
Reduced Erosion,Cost,0.416666666666667,0,4,2,5,0,0,0,11,3
Organic Fert,Gross Revenue,1.25260416666667,0,58,23,14,0,0,0,95,15
Reduced Fert+Organic Fert,Gross Revenue,0.398387096774194,0,3,24,14,0,0,0,41,8
Reduced Erosion,Gross Revenue,0.916666666666667,0,0,9,2,0,0,0,11,3
Organic Fert,Profit,0.988925081433225,2,65,31,24,9,0,1,132,20
Reduced Fert+Organic Fert,Profit,0.192197452229299,0,6,22,5,11,8,0,52,9
Intercropping,Marginal Rate of Return,-0.857142857142857,0,4,0,0,0,4,0,8,2
Intercropping,Labour Cost per Asset,2,0,18,0,0,0,0,0,18,1
Reduced Tillage,Marginal Rate of Return,1.001,1,0,0,0,0,0,0,1,1
Biochar+Reduced Fert,Gross Revenue,0.5,0,0,1,6,0,0,0,7,2
Biochar+Reduced Fert,Profit,0.583333333333333,0,0,7,11,1,0,0,19,3
Cover Crops+IPM+Residue/Mulch,Profit,-1,0,0,0,0,1,0,0,1,1
IPM,Gross Revenue,0.0476190476190476,0,0,2,3,1,0,0,6,3
Cover Crops+IPM+Residue/Mulch,Gross Revenue,-1,0,0,0,0,1,0,0,1,1
IPM,Cost,1.02380952380952,0,1,2,2,1,0,0,6,3
Cover Crops+IPM+Residue/Mulch,Cost,1,0,0,1,0,0,0,0,1,1
IPM,Labour Cost,0.5,0,0,1,1,0,0,0,2,1
Cover Crops+IPM+Residue/Mulch,Labour Cost,1,0,0,1,0,0,0,0,1,1
Biochar,Cost,0.770161290322581,0,29,25,36,0,1,0,91,10
Agroforestry+Organic Fert,Profit,-1,0,0,0,0,1,0,0,1,1
Agroforestry,Cost,-0.294871794871795,0,13,7,8,1,3,0,32,8
Agroforestry+Organic Fert,Cost,-1,0,0,0,0,1,0,0,1,1
Agroforestry+Reduced Fert,Profit,-1,0,0,0,0,3,0,0,3,2
Agroforestry+Reduced Fert,Cost,-0.625,0,0,0,2,1,0,0,3,2
Cover Crops+Residue/Mulch,Cost,0,0,0,2,7,2,0,0,11,3
Cover Crops+Residue/Mulch,Gross Revenue,0.4375,0,1,5,3,0,0,0,9,2
Cover Crops+Residue/Mulch,Profit,1.33333333333333,0,8,3,0,0,0,0,11,3
Cover Crops+Residue/Mulch,Benefit Cost Ratio,0.4375,0,0,7,2,0,0,0,9,2
"",Profit,0.500333333333333,3,0,3,6,0,0,0,12,3
"",Cost,-0.666666666666667,0,0,0,6,2,1,0,9,2
"",Gross Revenue,0.25,0,0,3,6,0,0,0,9,2
IPM,Benefit Cost Ratio,-0.5,0,0,6,0,2,0,0,8,2
Reduced Fert+Residue/Mulch,Profit,-0.245025793650794,7,9,12,4,10,7,4,53,4
Reduced Fert+Reduced Tillage+Residue/Mulch,Profit,0.333444444444444,2,5,4,0,4,3,0,18,1
Residue/Mulch,Present Value of Benefit,2,0,2,0,0,0,0,0,2,1
Residue/Mulch,Present Value of Cost,0,0,0,0,2,0,0,0,2,1
Residue/Mulch,Net Present Value,2,0,2,0,0,0,0,0,2,1
Residue/Mulch,Return on Investment,2,0,2,0,0,0,0,0,2,1
Cover Crops,Cost,0.690697674418605,0,12,4,15,0,0,0,31,8
Cover Crops,Gross Revenue,0.705585980284775,0,14,2,14,3,0,0,33,7
Cover Crops,Profit,0.131111111111111,0,8,7,8,4,1,0,28,9
Cover Crops,Benefit Cost Ratio,-0.786144578313253,0,1,3,13,5,1,0,23,7
Reduced Fert+Reduced Irrigation,Cost,0.333333333333333,0,0,3,6,0,0,0,9,1
Reduced Fert+Reduced Irrigation,Profit,-0.666666666666667,0,0,0,3,6,0,0,9,1
Rotation,Cost,1.70454545454545,0,5,23,8,1,0,0,37,12
Organic Fert,Benefit Cost Ratio,0.232742937853107,0,47,34,31,13,1,1,127,17
Reduced Tillage+Residue/Mulch+Rotation,Cost,0.125,0,0,2,6,1,0,0,9,2
Reduced Tillage+Residue/Mulch+Rotation,Gross Revenue,1.75,0,3,1,0,0,0,0,4,1
Reduced Tillage+Residue/Mulch+Rotation,Profit,0.617647058823529,0,7,6,0,2,2,0,17,4
Reduced Tillage+Residue/Mulch+Rotation,Benefit Cost Ratio,1.5,0,2,2,0,0,0,0,4,1
Cover Crops+Reduced Fert,Cost,0,0,0,0,1,0,0,0,1,1
Reduced Irrigation+Reduced Tillage+Rotation,Profit,2,0,2,0,0,0,0,0,2,1
Reduced Irrigation+Rotation,Profit,0.5,0,0,2,2,0,0,0,4,1
Reduced Fert+Reduced Tillage,Gross Revenue,0.111111111111111,0,20,7,6,5,0,0,38,2
Reduced Fert+Reduced Tillage,Cost,-0.416666666666667,0,0,14,14,10,0,0,38,2
Intercropping+Rotation,Cost,0.764705882352941,0,6,1,0,1,0,0,8,4
Biochar+Reduced Fert,Cost,-0.527777777777778,0,2,1,1,12,3,0,19,3
Residue/Mulch+Rotation,Profit,1.55,0,5,1,1,0,0,0,7,3
Agroforestry+Intercropping+Reduced Tillage,Gross Revenue,1.5,0,1,1,0,0,0,0,2,1
Reduced Fert+Intercropping+Reduced Tillage,Gross Revenue,1,0,1,0,1,0,0,0,2,1
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Gross Revenue,1,0,1,0,1,0,0,0,2,1
Agroforestry+Reduced Tillage,Gross Revenue,-0.5,0,0,0,1,1,0,0,2,1
Agroforestry+Reduced Fert+Reduced Tillage,Gross Revenue,-1,0,0,0,0,2,0,0,2,1
Agroforestry+Reduced Fert,Gross Revenue,-1,0,0,0,0,2,0,0,2,1
Intercropping+Reduced Tillage,Cost,0.625,0,0,4,1,1,0,0,6,2
Agroforestry+Intercropping+Reduced Tillage,Cost,1,0,0,2,0,0,0,0,2,1
Reduced Fert+Intercropping+Reduced Tillage,Cost,1,0,0,2,0,0,0,0,2,1
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Cost,1,0,0,2,0,0,0,0,2,1
Agroforestry+Reduced Tillage,Cost,-1,0,0,0,0,2,0,0,2,1
Agroforestry+Reduced Fert+Reduced Tillage,Cost,-1,0,0,0,0,2,0,0,2,1
Intercropping+Reduced Tillage,Profit,1.375,0,4,1,1,0,0,0,6,2
Agroforestry+Intercropping+Reduced Tillage,Profit,1.5,0,1,1,0,0,0,0,2,1
Reduced Fert+Intercropping+Reduced Tillage,Profit,0.5,0,1,0,0,1,0,0,2,1
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Profit,0.5,0,1,0,0,1,0,0,2,1
Agroforestry+Reduced Tillage,Profit,0,0,0,1,0,1,0,0,2,1
Agroforestry+Reduced Fert+Reduced Tillage,Profit,-1.5,0,0,0,0,1,1,0,2,1
Organic Fert+Residue/Mulch,Gross Revenue,1,0,0,1,0,0,0,0,1,1
Organic Fert+Reduced Tillage,Gross Revenue,0.571428571428571,0,0,1,6,0,0,0,7,2
Organic Fert+Reduced Tillage+Residue/Mulch,Gross Revenue,1,0,0,1,0,0,0,0,1,1
Organic Fert+Residue/Mulch,Cost,1,0,0,1,0,0,0,0,1,1
Organic Fert+Reduced Tillage,Cost,0,0,0,0,7,0,0,0,7,2
Organic Fert+Reduced Tillage+Residue/Mulch,Cost,1,0,0,1,0,0,0,0,1,1
Reduced Fert+Organic Fert,Benefit Cost Ratio,0.337096774193548,0,4,27,17,1,2,0,51,8
Controlled Release Fert,Gross Revenue,0,0,0,0,4,0,0,0,4,1
Controlled Release Fert+Reduced Fert,Gross Revenue,0,0,0,0,2,0,0,0,2,1
Controlled Release Fert,Cost,0,0,0,0,4,0,0,0,4,1
Controlled Release Fert+Reduced Fert,Cost,0,0,0,0,2,0,0,0,2,1
Biochar,Benefit Cost Ratio,-0.604166666666667,0,0,7,58,9,12,0,86,9
Biochar+Reduced Fert,Benefit Cost Ratio,-0.5625,0,6,4,0,16,19,0,45,4
Agroforestry,Net Present Value,-0.286981481481482,1,28,21,0,1,2,0,53,3
Cover Crops+Reduced Tillage+Residue/Mulch,Cost,0,0,0,0,1,0,0,0,1,1
Cover Crops+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Cost,-0.5,0,0,0,1,4,0,0,5,2
Cover Crops+Reduced Tillage+Residue/Mulch,Profit,1,0,0,1,0,0,0,0,1,1
Cover Crops+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Profit,0.125,0,0,1,1,3,0,0,5,2
Cover Crops+Reduced Erosion+Intercropping+IPM+Reduced Irrigation+Organic Fert+Residue/Mulch+Rotation,Gross Revenue,2,0,1,0,0,0,0,0,1,1
Cover Crops+Reduced Erosion+Intercropping+IPM+Reduced Irrigation+Organic Fert+Residue/Mulch+Rotation,Profit,1.42871428571429,1,5,0,0,1,0,0,7,1
Cover Crops+Reduced Fert+Reduced Tillage,Gross Revenue,-0.5,0,0,0,1,1,0,0,2,1
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Gross Revenue,1,0,0,1,0,0,0,0,1,1
Cover Crops+Reduced Fert+Reduced Tillage,Cost,0,0,0,1,0,1,0,0,2,1
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Cost,-1,0,0,0,0,1,0,0,1,1
Cover Crops+Reduced Fert+Reduced Tillage,Profit,-1,0,0,0,0,2,0,0,2,1
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Profit,1,0,0,1,0,0,0,0,1,1
Cover Crops+Reduced Tillage,Gross Revenue,-1,0,0,0,0,1,0,0,1,1
Cover Crops+Reduced Tillage,Cost,0,0,0,0,1,0,0,0,1,1
Cover Crops+Reduced Tillage,Profit,-1,0,0,0,0,1,0,0,1,1
Reduced Erosion+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Profit,0.375,0,0,1,1,0,0,0,2,1
Reduced Erosion+Reduced Irrigation+Organic Fert+Reduced Tillage+Residue/Mulch,Profit,-0.153846153846154,0,0,1,1,1,0,0,3,1
Residue/Mulch,Labour Cost,1.5,0,3,2,0,0,0,0,5,2
Reduced Tillage+Rotation,Net Present Value,2,0,2,0,0,0,0,0,2,1
Reduced Tillage+Rotation,Internal Rate of Return,2,0,2,0,0,0,0,0,2,1
Intercropping+Reduced Tillage,Net Present Value,1.66666666666667,0,2,1,0,0,0,0,3,1
Intercropping+Reduced Tillage,Internal Rate of Return,1.66666666666667,0,2,1,0,0,0,0,3,1
Intercropping+Reduced Tillage,Payback Period,2,0,3,0,0,0,0,0,3,1
Reduced Tillage+Rotation,Payback Period,2,0,2,0,0,0,0,0,2,1
Intercropping+Reduced Tillage+Rotation,Net Present Value,1.001,1,0,0,0,0,0,0,1,1
Rotation,Net Present Value,1.5005,1,1,0,0,0,0,0,2,1
Intercropping+Reduced Tillage+Rotation,Internal Rate of Return,2,0,1,0,0,0,0,0,1,1
Rotation,Internal Rate of Return,2,0,2,0,0,0,0,0,2,1
Intercropping+Reduced Tillage+Rotation,Payback Period,2,0,1,0,0,0,0,0,1,1
Rotation,Payback Period,2,0,2,0,0,0,0,0,2,1
Intercropping+Organic Fert+Reduced Tillage,Net Present Value,2,0,1,0,0,0,0,0,1,1
Intercropping+Organic Fert+Reduced Tillage,Internal Rate of Return,2,0,1,0,0,0,0,0,1,1
Intercropping+Organic Fert+Reduced Tillage,Payback Period,2,0,1,0,0,0,0,0,1,1
Residue/Mulch+Rotation,Gross Revenue,0,0,0,0,2,0,0,0,2,1
Residue/Mulch+Rotation,Cost,0.5,0,0,4,2,0,0,0,6,2
Reduced Tillage,Fixed Cost,0,0,0,0,4,0,0,0,4,1
Intercropping+Reduced Tillage+Residue/Mulch,Cost,0.25,0,0,2,1,1,0,0,4,1
Intercropping+Reduced Tillage+Residue/Mulch,Gross Revenue,1.5,0,2,2,0,0,0,0,4,1
Intercropping+Reduced Tillage+Residue/Mulch,Profit,0.424242424242424,0,5,1,1,2,1,0,10,2
Cover Crops,Return on Investment,1,0,0,2,0,0,0,0,2,1
Reduced Fert,Net Present Value,-0.499666666666667,2,0,0,0,3,1,0,6,1
Intercropping,Net Present Value,1.001,1,0,0,0,0,0,0,1,1
"",Benefit Cost Ratio,0.722222222222222,0,2,4,4,0,0,0,10,3
"",Net Present Value,2,0,1,0,0,0,0,0,1,1
Reduced Irrigation,Labour Cost,-2,0,0,0,0,0,1,0,1,1
Reduced Fert,Marginal Rate of Return,1.23809523809524,0,2,1,0,1,0,0,4,2
Reduced Fert,Labour Cost,0.916666666666667,0,0,11,1,0,0,0,12,1
Residue/Mulch,Return to Labour,-0.5005,0,0,0,1,0,0,1,2,1
Organic Fert,Return to Labour,-1.0005,0,0,0,0,1,0,1,2,1
Reduced Fert,Return to Labour,0.5,0,1,1,1,1,0,0,4,1
Reduced Fert+Intercropping,Gross Revenue,2,0,2,0,0,0,0,0,2,1
Reduced Fert+Intercropping,Cost,-1,0,0,0,0,2,0,0,2,1
Reduced Fert+Intercropping,Profit,0.5,0,0,1,1,0,0,0,2,1
Reduced Fert+Intercropping,Benefit Cost Ratio,1.5,0,2,2,0,0,0,0,4,1
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Gross Revenue,-1.375,0,0,0,0,5,3,0,8,1
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Profit,-1.75,0,0,0,0,2,6,0,8,1
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Cost,0,0,0,0,8,0,0,0,8,1
Cover Crops+Reduced Irrigation+Reduced Tillage,Cost,-1,0,0,0,0,4,0,0,4,1
Reduced Irrigation+Reduced Tillage+Residue/Mulch+Rotation,Cost,0,0,0,0,8,0,0,0,8,1
Cover Crops+Reduced Irrigation+Reduced Tillage,Profit,-1,0,0,0,0,4,0,0,4,1
Reduced Irrigation+Reduced Tillage+Residue/Mulch+Rotation,Profit,2,0,8,0,0,0,0,0,8,1
Agroforestry,Present Value of Benefit,2,0,2,0,0,0,0,0,2,1
Agroforestry,Present Value of Cost,1,0,1,0,1,0,0,0,2,1
Reduced Fert+Residue/Mulch,Cost,-0.5,0,0,0,10,6,0,0,16,3
Reduced Fert+Residue/Mulch,Gross Revenue,-0.391666666666667,0,0,2,7,7,0,0,16,3
Reduced Erosion+Reduced Fert,Cost,-0.333333333333333,0,0,0,2,1,0,0,3,1
Reduced Erosion+Reduced Fert,Gross Revenue,0.666666666666667,0,0,2,1,0,0,0,3,1
Reduced Erosion+Reduced Fert,Benefit Cost Ratio,1,0,0,6,0,0,0,0,6,1
Reduced Erosion+Reduced Fert,Profit,1,0,0,3,0,0,0,0,3,1
Reduced Erosion+Residue/Mulch,Cost,1.33333333333333,0,2,4,0,0,0,0,6,1
Reduced Erosion+Residue/Mulch,Profit,1,0,0,6,0,0,0,0,6,1
Organic Fert,Marginal Rate of Return,0.667333333333333,4,0,0,2,0,0,0,6,1
Reduced Fert+Organic Fert,Marginal Rate of Return,0.4004,2,1,0,1,0,1,0,5,1
Organic Fert+Reduced Tillage,Profit,0.571428571428571,0,0,1,6,0,0,0,7,2
Organic Fert+Reduced Tillage,Benefit Cost Ratio,0.571428571428571,0,0,1,12,0,0,0,13,2
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,1.11818181818182,0,5,15,0,3,2,0,25,3
Reduced Fert+Organic Fert+Residue/Mulch,Cost,0,0,0,0,1,0,0,0,1,1
Reduced Fert+Organic Fert+Residue/Mulch,Gross Revenue,0,0,0,0,1,0,0,0,1,1
Reduced Fert+Organic Fert+Residue/Mulch,Profit,0,0,0,0,1,0,0,0,1,1
Reduced Fert+Residue/Mulch,Benefit Cost Ratio,-0.15,0,0,5,7,12,0,0,24,3
Reduced Fert+Organic Fert+Residue/Mulch,Benefit Cost Ratio,0,0,0,0,2,0,0,0,2,1
Biochar+Reduced Fert+Intercropping,Benefit Cost Ratio,0.166666666666667,0,4,4,2,7,1,0,18,1
Biochar+Organic Fert,Cost,1.65,0,13,7,0,0,0,0,20,1
Biochar+Organic Fert,Gross Revenue,2,0,20,0,0,0,0,0,20,1
Biochar+Organic Fert,Benefit Cost Ratio,1.875,0,35,5,0,0,0,0,40,1
Organic Fert+Reduced Tillage+Residue/Mulch,Profit,1,0,0,2,0,0,0,0,2,2
Intercropping+Organic Fert+Reduced Tillage+Residue/Mulch,Profit,1.5,0,1,1,0,0,0,0,2,1
Organic Fert+Reduced Tillage+Residue/Mulch+Rotation,Profit,1.5,0,1,1,0,0,0,0,2,1
Intercropping+Organic Fert,Profit,2,0,2,0,0,0,0,0,2,1
Organic Fert+Rotation,Profit,2,0,2,0,0,0,0,0,2,1
Intercropping+Rotation,Benefit Cost Ratio,0.8,0,2,9,1,0,0,0,12,3
Cover Crops,Labour Cost,-0.2,0,0,1,3,0,1,0,5,1
Cover Crops,Internal Rate of Return,1.001,5,0,0,0,0,0,0,5,1
Cover Crops,Net Present Value,1.001,5,0,0,0,0,0,0,5,1
Controlled Release Fert+Reduced Tillage,Cost,-0.5,0,0,0,1,1,0,0,2,1
Organic Fert+Residue/Mulch,Profit,1,0,0,1,0,0,0,0,1,1
Controlled Release Fert+Reduced Fert,Profit,0,0,0,0,2,0,0,0,2,1
Biochar+Organic Fert,Profit,2,0,20,0,0,0,0,0,20,1
Reduced Erosion+Reduced Tillage,Benefit Cost Ratio,1.5,0,3,3,0,0,0,0,6,1
Agroforestry+Controlled Grazing+Reduced Erosion+Intercropping,Benefit Cost Ratio,-0.5,0,0,0,1,1,0,0,2,1
Agroforestry+Reduced Irrigation,Benefit Cost Ratio,2,0,4,0,0,0,0,0,4,1
Reduced Erosion+Organic Fert,Benefit Cost Ratio,-1,0,0,0,0,1,0,0,1,1
Cover Crops+Reduced Erosion+Intercropping+Rotation,Benefit Cost Ratio,-1,0,0,0,0,1,0,0,1,1
Cover Crops+IPM+Residue/Mulch,Benefit Cost Ratio,-1,0,0,0,0,1,0,0,1,1
Intercropping+Reduced Tillage,Benefit Cost Ratio,1.25,0,3,2,1,0,0,0,6,2
Agroforestry+Intercropping+Reduced Tillage,Benefit Cost Ratio,1,0,1,0,1,0,0,0,2,1
Reduced Fert+Intercropping+Reduced Tillage,Benefit Cost Ratio,0.5,0,1,0,0,1,0,0,2,1
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Benefit Cost Ratio,0.5,0,1,0,0,1,0,0,2,1
Agroforestry+Reduced Tillage,Benefit Cost Ratio,0.5,0,0,1,1,0,0,0,2,1
Agroforestry+Reduced Fert+Reduced Tillage,Benefit Cost Ratio,-0.5,0,0,0,1,1,0,0,2,1
Agroforestry+Reduced Fert,Benefit Cost Ratio,-1,0,0,0,0,2,0,0,2,1
Organic Fert+Residue/Mulch,Benefit Cost Ratio,0,0,0,0,1,0,0,0,1,1
Organic Fert+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,1,0,0,1,0,0,0,0,1,1
Controlled Release Fert,Benefit Cost Ratio,0,0,0,0,4,0,0,0,4,1
Controlled Release Fert+Reduced Fert,Benefit Cost Ratio,0,0,0,0,2,0,0,0,2,1
Cover Crops+Reduced Fert+Reduced Tillage,Benefit Cost Ratio,-0.5,0,0,0,1,1,0,0,2,1
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,1,0,0,1,0,0,0,0,1,1
Cover Crops+Reduced Tillage,Benefit Cost Ratio,-1,0,0,0,0,1,0,0,1,1
Residue/Mulch+Rotation,Benefit Cost Ratio,0,0,0,0,2,0,0,0,2,1
Intercropping+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio,1.75,0,3,1,0,0,0,0,4,1
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Benefit Cost Ratio,-1.375,0,0,0,0,5,3,0,8,1
All Nbs,Cost,0.451993228502717,6,169,320,775,305,30,0,1605,158
All Nbs,Profit,0.483345336179548,88,531,518,477,386,137,58,2195,182
All Nbs,Gross Revenue,0.532112617288316,0,266,335,558,250,33,0,1442,138
All Nbs,Labour Cost,0.053030303030303,0,11,26,20,0,2,0,59,11
All Nbs,Benefit Cost Ratio,-0.0565988996793756,6,252,487,674,358,77,2,1856,138
