Code,Country,Location,Year_start,Year_end,Practice,Economic Outcome,Units,xrat_obs,xrat_2015,cpi_obs,cpi_2015,ppp_2015,MeanT,MeanC,MeanT_local,MeanC_local,MeanT_local_2015,MeanC_local_2015,MeanT_2015_usd,MeanC_2015_usd,MeanT_2015_ppp_intusd,MeanC_2015_ppp_intusd
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,2500,34400,2500,42022.4,3054,71.1,5.2,190.6,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,105200,38880,105200,47495.1,128510.5,80.3,217.4,215.4,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,105200,34400,105200,42022.4,128510.5,71.1,217.4,190.6,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,4.2,1.4,4.2,1.4,5.2,1.7,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,3.3,1.4,3.3,1.4,4.1,1.7,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,4.2,1.9,4.2,1.9,5.2,2.3,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,Agroforestry,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,3.3,1.9,3.3,1.9,4.1,2.3,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,164220,3468,164220,3468,200608.3,4236.4,339.3,7.2,909.7,19.2
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,114648,3468,114648,3468,140052,4236.4,236.9,7.2,635.1,19.2
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,164220,194650,164220,194650,200608.3,237781.1,339.3,402.2,909.7,1078.3
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,114648,194650,114648,194650,140052,237781.1,236.9,402.2,635.1,1078.3
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Profit,XOF,1,591.2,89.8,109.7,220.5,125340,968,125340,968,153113.2,1182.5,259,2,694.3,5.4
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Profit,XOF,1,591.2,89.8,109.7,220.5,80248,968,80248,968,98029.6,1182.5,165.8,2,444.5,5.4
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Profit,XOF,1,591.2,89.8,109.7,220.5,125340,89450,125340,89450,153113.2,109270.6,259,184.8,694.3,495.5
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Profit,XOF,1,591.2,89.8,109.7,220.5,80248,89450,80248,89450,98029.6,109270.6,165.8,184.8,444.5,495.5
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,2500,38880,2500,47495.1,3054,80.3,5.2,215.4,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,2500,34400,2500,42022.4,3054,71.1,5.2,190.6,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,105200,38880,105200,47495.1,128510.5,80.3,217.4,215.4,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,105200,34400,105200,42022.4,128510.5,71.1,217.4,190.6,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,2500,38880,2500,47495.1,3054,80.3,5.2,215.4,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,2500,34400,2500,42022.4,3054,71.1,5.2,190.6,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,105200,38880,105200,47495.1,128510.5,80.3,217.4,215.4,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,105200,34400,105200,42022.4,128510.5,71.1,217.4,190.6,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,4.2,1.4,4.2,1.4,5.2,1.7,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,3.3,1.4,3.3,1.4,4.1,1.7,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,4.2,1.9,4.2,1.9,5.2,2.3,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,Reduced Irrigation,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,3.3,1.9,3.3,1.9,4.1,2.3,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,164220,3468,164220,3468,200608.3,4236.4,339.3,7.2,909.7,19.2
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,114648,3468,114648,3468,140052,4236.4,236.9,7.2,635.1,19.2
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,164220,194650,164220,194650,200608.3,237781.1,339.3,402.2,909.7,1078.3
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Gross Revenue,XOF,1,591.2,89.8,109.7,220.5,114648,194650,114648,194650,140052,237781.1,236.9,402.2,635.1,1078.3
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Profit,XOF,1,591.2,89.8,109.7,220.5,125340,968,125340,968,153113.2,1182.5,259,2,694.3,5.4
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Profit,XOF,1,591.2,89.8,109.7,220.5,80248,968,80248,968,98029.6,1182.5,165.8,2,444.5,5.4
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Profit,XOF,1,591.2,89.8,109.7,220.5,125340,89450,125340,89450,153113.2,109270.6,259,184.8,694.3,495.5
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Profit,XOF,1,591.2,89.8,109.7,220.5,80248,89450,80248,89450,98029.6,109270.6,165.8,184.8,444.5,495.5
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,2500,38880,2500,47495.1,3054,80.3,5.2,215.4,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,2500,34400,2500,42022.4,3054,71.1,5.2,190.6,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,105200,38880,105200,47495.1,128510.5,80.3,217.4,215.4,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,105200,34400,105200,42022.4,128510.5,71.1,217.4,190.6,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,2500,38880,2500,47495.1,3054,80.3,5.2,215.4,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,2500,34400,2500,42022.4,3054,71.1,5.2,190.6,13.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,38880,105200,38880,105200,47495.1,128510.5,80.3,217.4,215.4,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Cost,XOF,1,591.2,89.8,109.7,220.5,34400,105200,34400,105200,42022.4,128510.5,71.1,217.4,190.6,582.8
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,4.2,1.4,4.2,1.4,5.2,1.7,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,3.3,1.4,3.3,1.4,4.1,1.7,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,4.2,1.9,4.2,1.9,5.2,2.3,0,0,0,0
6135851,Benin,"Gbeboro, Kandi",2007,2007,All Nbs,Benefit Cost Ratio,XOF,1,591.2,89.8,109.7,220.5,3.3,1.9,3.3,1.9,4.1,2.3,0,0,0,0
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2806,2912,208071.6,215931.8,270017.1,280217.3,3464.1,3595,9896.6,10270.5
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2771,2912,205476.3,215931.8,266649.1,280217.3,3420.9,3595,9773.2,10270.5
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,4648,4961,344660.4,367870.1,447269.9,477389.4,5738.1,6124.5,16393.3,17497.2
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,4628,4961,343177.3,367870.1,445345.3,477389.4,5713.4,6124.5,16322.7,17497.2
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Benefit Cost Ratio,,,,,,,1.2,1.2,1.2,,,,,,,
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Benefit Cost Ratio,,,,,,,1.2,1.2,1.2,,,,,,,
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2736,2860,202881,212075.9,263281.1,275213.4,3377.7,3530.8,9649.7,10087.1
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2701,2860,200285.6,212075.9,259913.1,275213.4,3334.5,3530.8,9526.3,10087.1
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,3664,3728,271694.4,276440.1,352581.1,358739.7,4523.3,4602.4,12922.8,13148.5
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,3380,3728,250635.1,276440.1,325252.2,358739.7,4172.7,4602.4,11921.1,13148.5
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Benefit Cost Ratio,,,,,,,1,1,1,,,,,,,
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Benefit Cost Ratio,,,,,,,0.9,1,0.9,,,,,,,
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.7,1.7,122.8,126.3,159.4,163.9,2,2.1,5.8,6
6133293,Bangladesh,Alipur,2010,2012,Reduced Tillage,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.7,1.7,123.8,126.3,160.7,163.9,2.1,2.1,5.9,6
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.3,1.3,99.3,96.7,128.9,125.4,1.7,1.6,4.7,4.6
6133293,Bangladesh,Digram,2010,2012,Reduced Tillage,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.3,1.3,92.8,96.7,120.4,125.4,1.5,1.6,4.4,4.6
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Gross Revenue,BDT/year,1,77.9,111.4,144.6,27.3,466349,849000,466349,849000,605186.7,1101757.6,7764.1,14134.7,22181.2,40381.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Gross Revenue,BDT/year,1,77.9,111.4,144.6,27.3,466349,1497980,466349,1497980,605186.7,1943946.7,7764.1,24939.4,22181.2,71249.3
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Gross Revenue,BDT/year,1,77.9,111.4,144.6,27.3,849000,1497980,849000,1497980,1101757.6,1943946.7,14134.7,24939.4,40381.5,71249.3
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Cost,BDT/year,1,77.9,111.4,144.6,27.3,4467,6800,4467,6800,5796.9,8824.4,74.4,113.2,212.5,323.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Cost,BDT/year,1,77.9,111.4,144.6,27.3,4467,30200,4467,30200,5796.9,39190.9,74.4,502.8,212.5,1436.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Cost,BDT/year,1,77.9,111.4,144.6,27.3,6800,30200,6800,30200,8824.4,39190.9,113.2,502.8,323.4,1436.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Profit,BDT/year,1,77.9,111.4,144.6,27.3,327763,623240,327763,623240,425342,808786.1,5456.8,10376.1,15589.6,29643.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Profit,BDT/year,1,77.9,111.4,144.6,27.3,327763,1045580,327763,1045580,425342,1356861.8,5456.8,17407.5,15589.6,49731.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Profit,BDT/year,1,77.9,111.4,144.6,27.3,623240,1045580,623240,1045580,808786.1,1356861.8,10376.1,17407.5,29643.5,49731.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Net Present Value,BDT/ha,1,77.9,111.4,144.6,27.3,160463,325126,160463,325126,208234.8,421919.9,2671.5,5412.9,7632.2,15464.2
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Net Present Value,BDT/ha,1,77.9,111.4,144.6,27.3,160463,577364,160463,577364,208234.8,749252.2,2671.5,9612.3,7632.2,27461.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Net Present Value,BDT/ha,1,77.9,111.4,144.6,27.3,325126,577364,325126,577364,421919.9,749252.2,5412.9,9612.3,15464.2,27461.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Benefit Cost Ratio,BDT/year,1,77.9,111.4,144.6,27.3,104.4,124.9,104.4,124.9,135.5,162,1.7,2.1,5,5.9
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Benefit Cost Ratio,BDT/year,1,77.9,111.4,144.6,27.3,104.4,49.6,104.4,49.6,135.5,64.4,1.7,0.8,5,2.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,Agroforestry,Benefit Cost Ratio,BDT/year,1,77.9,111.4,144.6,27.3,124.9,49.6,124.9,49.6,162,64.4,2.1,0.8,5.9,2.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Gross Revenue,BDT/year,1,77.9,111.4,144.6,27.3,466349,849000,466349,849000,605186.7,1101757.6,7764.1,14134.7,22181.2,40381.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Gross Revenue,BDT/year,1,77.9,111.4,144.6,27.3,466349,1497980,466349,1497980,605186.7,1943946.7,7764.1,24939.4,22181.2,71249.3
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Gross Revenue,BDT/year,1,77.9,111.4,144.6,27.3,849000,1497980,849000,1497980,1101757.6,1943946.7,14134.7,24939.4,40381.5,71249.3
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Cost,BDT/year,1,77.9,111.4,144.6,27.3,4467,6800,4467,6800,5796.9,8824.4,74.4,113.2,212.5,323.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Cost,BDT/year,1,77.9,111.4,144.6,27.3,4467,30200,4467,30200,5796.9,39190.9,74.4,502.8,212.5,1436.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Cost,BDT/year,1,77.9,111.4,144.6,27.3,6800,30200,6800,30200,8824.4,39190.9,113.2,502.8,323.4,1436.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Profit,BDT/year,1,77.9,111.4,144.6,27.3,327763,623240,327763,623240,425342,808786.1,5456.8,10376.1,15589.6,29643.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Profit,BDT/year,1,77.9,111.4,144.6,27.3,327763,1045580,327763,1045580,425342,1356861.8,5456.8,17407.5,15589.6,49731.5
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Profit,BDT/year,1,77.9,111.4,144.6,27.3,623240,1045580,623240,1045580,808786.1,1356861.8,10376.1,17407.5,29643.5,49731.5
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2806,2912,208071.6,215931.8,270017.1,280217.3,3464.1,3595,9896.6,10270.5
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2771,2912,205476.3,215931.8,266649.1,280217.3,3420.9,3595,9773.2,10270.5
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,4648,4961,344660.4,367870.1,447269.9,477389.4,5738.1,6124.5,16393.3,17497.2
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,4628,4961,343177.3,367870.1,445345.3,477389.4,5713.4,6124.5,16322.7,17497.2
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Benefit Cost Ratio,,,,,,,1.2,1.2,1.2,,,,,,,
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Benefit Cost Ratio,,,,,,,1.2,1.2,1.2,,,,,,,
6133293,Bangladesh,Digram,2010,2012,All Nbs,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2736,2860,202881,212075.9,263281.1,275213.4,3377.7,3530.8,9649.7,10087.1
6133293,Bangladesh,Digram,2010,2012,All Nbs,Cost,USD/ha,74.2,77.9,111.4,144.6,27.3,2701,2860,200285.6,212075.9,259913.1,275213.4,3334.5,3530.8,9526.3,10087.1
6133293,Bangladesh,Digram,2010,2012,All Nbs,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,3664,3728,271694.4,276440.1,352581.1,358739.7,4523.3,4602.4,12922.8,13148.5
6133293,Bangladesh,Digram,2010,2012,All Nbs,Gross Revenue,USD/ha,74.2,77.9,111.4,144.6,27.3,3380,3728,250635.1,276440.1,325252.2,358739.7,4172.7,4602.4,11921.1,13148.5
6133293,Bangladesh,Digram,2010,2012,All Nbs,Benefit Cost Ratio,,,,,,,1,1,1,,,,,,,
6133293,Bangladesh,Digram,2010,2012,All Nbs,Benefit Cost Ratio,,,,,,,0.9,1,0.9,,,,,,,
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Profit,USD/ha,74.2,77.9,111.4,144.6,27.3,1842,2049,136588.7,151938.3,177252.8,197172.1,2274,2529.6,6496.6,7226.7
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Profit,USD/ha,74.2,77.9,111.4,144.6,27.3,1857,2049,137701,151938.3,178696.3,197172.1,2292.5,2529.6,6549.6,7226.7
6133293,Bangladesh,Digram,2010,2012,All Nbs,Profit,USD/ha,74.2,77.9,111.4,144.6,27.3,928,868,68813.4,64364.3,89300,83526.3,1145.7,1071.6,3273,3061.4
6133293,Bangladesh,Digram,2010,2012,All Nbs,Profit,USD/ha,74.2,77.9,111.4,144.6,27.3,679,868,50349.5,64364.3,65339.1,83526.3,838.3,1071.6,2394.8,3061.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Benefit Cost Ratio,BDT/year,1,77.9,111.4,144.6,27.3,104.4,124.9,104.4,124.9,135.5,162,1.7,2.1,5,5.9
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Benefit Cost Ratio,BDT/year,1,77.9,111.4,144.6,27.3,104.4,49.6,104.4,49.6,135.5,64.4,1.7,0.8,5,2.4
6133383,Bangladesh,"Arankhola, Madhupur National Park",2011,2011,All Nbs,Benefit Cost Ratio,BDT/year,1,77.9,111.4,144.6,27.3,124.9,49.6,124.9,49.6,162,64.4,2.1,0.8,5.9,2.4
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.7,1.7,122.8,126.3,159.4,163.9,2,2.1,5.8,6
6133293,Bangladesh,Alipur,2010,2012,All Nbs,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.7,1.7,123.8,126.3,160.7,163.9,2.1,2.1,5.9,6
6133293,Bangladesh,Digram,2010,2012,All Nbs,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.3,1.3,99.3,96.7,128.9,125.4,1.7,1.6,4.7,4.6
6133293,Bangladesh,Digram,2010,2012,All Nbs,Benefit Cost Ratio,USD/ha,74.2,77.9,111.4,144.6,27.3,1.3,1.3,92.8,96.7,120.4,125.4,1.5,1.6,4.4,4.6
6132757,Bangladesh,"BRRI, Gazipur",2012,2013,Reduced Tillage,Gross Revenue,USD/ha,81.9,77.9,118.3,144.6,27.3,1458,1416,119355.8,115917.5,145822.9,141622.2,1870.8,1816.9,5344.7,5190.7
6132757,Bangladesh,"Kumarkhali,Kushtia",2012,2013,Reduced Tillage,Gross Revenue,USD/ha,81.9,77.9,118.3,144.6,27.3,1336,1262,109368.5,103310.7,133620.9,126219.8,1714.3,1619.3,4897.5,4626.2
6132757,Bangladesh,"BRRI, Gazipur",2012,2013,Reduced Tillage,Benefit Cost Ratio,,,,,,,1.6,1.5,1.6,,,,,,,
6132757,Bangladesh,"Kumarkhali,Kushtia",2012,2013,Reduced Tillage,Benefit Cost Ratio,,,,,,,1.4,1.4,1.4,,,,,,,
6132757,Bangladesh,"BRRI, Gazipur",2012,2013,Reduced Tillage,Cost,USD/ha,81.9,77.9,118.3,144.6,27.3,920,918,75313.6,75149.9,92014.4,91814.4,1180.5,1177.9,3372.5,3365.2
6132757,Bangladesh,"Kumarkhali,Kushtia",2012,2013,Reduced Tillage,Cost,USD/ha,81.9,77.9,118.3,144.6,27.3,941,928,77032.8,75968.5,94114.8,92814.6,1207.4,1190.7,3449.5,3401.8
6132757,Bangladesh,"BRRI, Gazipur",2012,2013,Reduced Tillage,Benefit Cost Ratio,USD/ha,81.9,77.9,118.3,144.6,27.3,1.6,1.5,129.7,126.3,158.5,154.3,2,2,5.8,5.7
6132757,Bangladesh,"Kumarkhali,Kushtia",2012,2013,Reduced Tillage,Benefit Cost Ratio,USD/ha,81.9,77.9,118.3,144.6,27.3,1.4,1.4,116.2,111.3,142,136,1.8,1.7,5.2,5
6132757,Bangladesh,"BRRI, Gazipur",2012,2013,Reduced Irrigation,Gross Revenue,USD/ha,81.9,77.9,118.3,144.6,27.3,1360,1416,111333.2,115917.5,136021.3,141622.2,1745.1,1816.9,4985.4,5190.7
