PrName,Out.SubInd,N.Obs,N.Studies,vote_mean,variable,value,direction
Reduced Tillage+Residue/Mulch+Rotation,Net Profit,4,1,2,posT_negC,0,positive
Reduced Fert,Total Cost (Unconfirmed),26,2,-0.725,posT_negC,0,positive
Reduced Fert,Net Profit,74,6,-0.683333333333333,posT_negC,0,positive
Reduced Fert,Benefit Cost Ratio (NPTC),94,6,0.465277777777778,posT_negC,0,positive
Rotation,Net Profit,4,1,2,posT_negC,0,positive
Reduced Fert+Organic Fert,Total Cost (Unconfirmed),3,1,0.666666666666667,posT_negC,0,positive
Cover Crops+Reduced Fert,Total Cost (Unconfirmed),1,1,0,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Rotation,Gross Profit,2,1,2,posT_negC,0,positive
Reduced Irrigation+Rotation,Gross Profit,4,1,0.5,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Gross Revenue,38,2,0.111111111111111,posT_negC,0,positive
Reduced Fert+Reduced Tillage,Variable Cost,38,2,-0.416666666666667,posT_negC,0,positive
Intercropping+Rotation,Variable Cost,8,4,0.764705882352941,posT_negC,0,positive
Biochar+Reduced Fert,Variable Cost,19,3,-0.527777777777778,posT_negC,0,positive
Biochar+Reduced Fert,Total Cost (Unconfirmed),6,1,-1,posT_negC,0,positive
"",Total Cost (Unconfirmed),6,1,0,posT_negC,0,positive
Biochar,Total Cost (Unconfirmed),9,1,0,posT_negC,0,positive
Biochar+Reduced Fert,Net Profit,18,2,0.625,posT_negC,0,positive
"",Net Profit,6,1,1.33333333333333,posT_negC,0,positive
Biochar,Net Profit,45,4,0.75,posT_negC,0,positive
Reduced Tillage,Total Cost (Unconfirmed),2,1,0,posT_negC,0,positive
Cover Crops,Net Profit (Unconfirmed),1,1,-1,posT_negC,0,positive
Residue/Mulch+Rotation,Net Profit (Unconfirmed),1,1,2,posT_negC,0,positive
Agroforestry+Intercropping+Reduced Tillage,Gross Revenue,2,1,1.5,posT_negC,0,positive
Reduced Fert+Intercropping+Reduced Tillage,Gross Revenue,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Gross Revenue,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Tillage,Gross Revenue,2,1,-0.5,posT_negC,0,positive
Agroforestry+Reduced Fert+Reduced Tillage,Gross Revenue,2,1,-1,posT_negC,0,positive
Agroforestry+Reduced Fert,Gross Revenue,2,1,-1,posT_negC,0,positive
Intercropping+Reduced Tillage,Variable Cost,6,2,0.625,posT_negC,0,positive
Agroforestry+Intercropping+Reduced Tillage,Variable Cost,2,1,1,posT_negC,0,positive
Reduced Fert+Intercropping+Reduced Tillage,Variable Cost,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Variable Cost,2,1,1,posT_negC,0,positive
Agroforestry+Reduced Tillage,Variable Cost,2,1,-1,posT_negC,0,positive
Agroforestry+Reduced Fert+Reduced Tillage,Variable Cost,2,1,-1,posT_negC,0,positive
Intercropping+Reduced Tillage,Gross Profit,6,2,1.375,posT_negC,0,positive
Agroforestry+Intercropping+Reduced Tillage,Gross Profit,2,1,1.5,posT_negC,0,positive
Reduced Fert+Intercropping+Reduced Tillage,Gross Profit,2,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Fert+Intercropping+Reduced Tillage,Gross Profit,2,1,0.5,posT_negC,0,positive
Agroforestry+Reduced Tillage,Gross Profit,2,1,0,posT_negC,0,positive
Agroforestry+Reduced Fert+Reduced Tillage,Gross Profit,2,1,-1.5,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Gross Profit,13,3,0.321428571428571,posT_negC,0,positive
Organic Fert+Residue/Mulch,Gross Revenue,1,1,1,posT_negC,0,positive
Organic Fert+Reduced Tillage,Gross Revenue,7,2,0.571428571428571,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Gross Revenue,1,1,1,posT_negC,0,positive
Organic Fert+Residue/Mulch,Variable Cost,1,1,1,posT_negC,0,positive
Organic Fert+Reduced Tillage,Variable Cost,7,2,0,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Variable Cost,1,1,1,posT_negC,0,positive
Organic Fert,Total Cost,19,3,0.45,posT_negC,0,positive
Organic Fert+Residue/Mulch,Total Cost,1,1,1,posT_negC,0,positive
Organic Fert+Reduced Tillage,Total Cost,1,1,0,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Total Cost,1,1,0,posT_negC,0,positive
Organic Fert,Net Profit,19,4,0.4,posT_negC,0,positive
Organic Fert+Residue/Mulch,Net Profit,1,1,1,posT_negC,0,positive
Organic Fert+Reduced Tillage,Net Profit,1,1,1,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Net Profit,5,3,0.166666666666667,posT_negC,0,positive
Organic Fert+Reduced Tillage+Residue/Mulch,Net Profit,1,1,2,posT_negC,0,positive
Controlled Release Fert,Gross Revenue,4,1,0,posT_negC,0,positive
Controlled Release Fert+Reduced Fert,Gross Revenue,2,1,0,posT_negC,0,positive
Controlled Release Fert,Variable Cost,4,1,0,posT_negC,0,positive
Controlled Release Fert+Reduced Fert,Variable Cost,2,1,0,posT_negC,0,positive
Controlled Release Fert,Net Profit,4,1,0.5,posT_negC,0,positive
Reduced Fert,Total Cost,74,6,-0.2675,posT_negC,0,positive
Biochar+Reduced Fert,Total Cost,18,2,-0.541666666666667,posT_negC,0,positive
Controlled Release Fert+Reduced Fert,Net Profit,2,1,0,posT_negC,0,positive
Agroforestry,Net Present Value,53,3,-0.286981481481482,posT_negC,1,positive
Intercropping,Benefit Cost Ratio (Unspecified),20,1,0.6,posT_negC,0,positive
Cover Crops+Reduced Tillage+Residue/Mulch,Variable Cost,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Variable Cost,5,2,-0.5,posT_negC,0,positive
Cover Crops+Reduced Tillage+Residue/Mulch,Gross Profit,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Profit,5,2,0.125,posT_negC,0,positive
Cover Crops+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio (GPVC),2,1,0,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio (GPVC),6,2,0.75,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage,Benefit Cost Ratio (GPVC),61,12,0.218796666666667,posT_negC,3,positive
Cover Crops+Reduced Erosion+Intercropping+IPM+Reduced Irrigation+Organic Fert+Residue/Mulch+Rotation,Gross Revenue,1,1,2,posT_negC,0,positive
Cover Crops+Reduced Erosion+Intercropping+IPM+Reduced Irrigation+Organic Fert+Residue/Mulch+Rotation,Net Profit (Unconfirmed),7,1,1.42871428571429,posT_negC,1,positive
Reduced Tillage+Residue/Mulch,Benefit Cost Ratio (GPVC),75,19,0.3589921875,posT_negC,1,positive
Cover Crops+Reduced Fert+Reduced Tillage,Gross Revenue,2,1,-0.5,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Gross Revenue,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage,Variable Cost,2,1,0,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Variable Cost,1,1,-1,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage,Gross Profit,2,1,-1,posT_negC,0,positive
Cover Crops+Reduced Fert+Reduced Tillage+Residue/Mulch,Gross Profit,1,1,1,posT_negC,0,positive
Cover Crops+Reduced Tillage,Gross Revenue,1,1,-1,posT_negC,0,positive
Cover Crops+Reduced Tillage,Variable Cost,1,1,0,posT_negC,0,positive
Cover Crops+Reduced Tillage,Gross Profit,1,1,-1,posT_negC,0,positive
Agroforestry,Benefit Cost Ratio (GPVC),23,5,0.76780701754386,posT_negC,1,positive
Reduced Erosion+Reduced Irrigation+Reduced Tillage+Residue/Mulch,Gross Profit,2,1,0.375,posT_negC,0,positive
Reduced Erosion+Reduced Irrigation+Organic Fert+Reduced Tillage+Residue/Mulch,Gross Profit,2,1,-0.25,posT_negC,0,positive
Reduced Erosion+Reduced Irrigation+Organic Fert+Reduced Tillage+Residue/Mulch,Net Profit,1,1,0,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Benefit Cost Ratio (NPTC),4,2,1.75,posT_negC,0,positive
Reduced Tillage+Rotation,Net Present Value,2,1,2,posT_negC,0,positive
Reduced Tillage+Rotation,Internal Rate of Return,2,1,2,posT_negC,0,positive
Intercropping+Reduced Tillage,Net Present Value,3,1,1.66666666666667,posT_negC,0,positive
Intercropping+Reduced Tillage,Internal Rate of Return,3,1,1.66666666666667,posT_negC,0,positive
Intercropping+Reduced Tillage,Payback Period,3,1,2,posT_negC,0,positive
Reduced Tillage+Rotation,Payback Period,2,1,2,posT_negC,0,positive
Intercropping+Reduced Tillage+Rotation,Net Present Value,1,1,1.001,posT_negC,1,positive
Rotation,Net Present Value,2,1,1.5005,posT_negC,1,positive
Intercropping+Reduced Tillage+Rotation,Internal Rate of Return,1,1,2,posT_negC,0,positive
Rotation,Internal Rate of Return,2,1,2,posT_negC,0,positive
Intercropping+Reduced Tillage+Rotation,Payback Period,1,1,2,posT_negC,0,positive
Rotation,Payback Period,2,1,2,posT_negC,0,positive
Intercropping+Organic Fert+Reduced Tillage,Net Present Value,1,1,2,posT_negC,0,positive
Intercropping+Organic Fert+Reduced Tillage,Internal Rate of Return,1,1,2,posT_negC,0,positive
Intercropping+Organic Fert+Reduced Tillage,Payback Period,1,1,2,posT_negC,0,positive
Rotation,Variable Cost,31,10,1.71481481481481,posT_negC,0,positive
Residue/Mulch+Rotation,Gross Revenue,2,1,0,posT_negC,0,positive
Residue/Mulch+Rotation,Gross Profit,6,2,1.25,posT_negC,0,positive
Rotation,Benefit Cost Ratio (GPVC),33,10,0.852592592592593,posT_negC,0,positive
Residue/Mulch+Rotation,Benefit Cost Ratio (GPVC),8,2,1.125,posT_negC,0,positive
Residue/Mulch+Rotation,Variable Cost,6,2,0.5,posT_negC,0,positive
IPM,Total Cost (Unconfirmed),1,1,1,posT_negC,0,positive
Reduced Tillage,Fixed Cost,4,1,0,posT_negC,0,positive
Intercropping+Reduced Tillage+Residue/Mulch,Variable Cost,4,1,0.25,posT_negC,0,positive
Intercropping+Reduced Tillage+Residue/Mulch,Gross Revenue,4,1,1.5,posT_negC,0,positive
Intercropping+Reduced Tillage+Residue/Mulch,Gross Profit,10,2,0.424242424242424,posT_negC,0,positive
Cover Crops,Variable Cost,29,7,0.71566265060241,posT_negC,0,positive
Cover Crops,Gross Profit,25,7,0.172289156626506,posT_negC,0,positive
Cover Crops,Benefit Cost Ratio (GPVC),34,7,-0.667457831325301,posT_negC,2,positive
Intercropping,Total Cost (Unconfirmed),12,2,0.4,posT_negC,0,positive
Intercropping,Net Profit (Unconfirmed),12,2,1.56666666666667,posT_negC,0,positive
Intercropping,Benefit Cost Ratio (NPTC),9,2,0.5,posT_negC,0,positive
Cover Crops,Return on Investment,2,1,1,posT_negC,0,positive
Reduced Fert,Net Present Value,6,1,-0.499666666666667,posT_negC,2,positive
Intercropping,Net Present Value,1,1,1.001,posT_negC,1,positive
"",Net Present Value,1,1,2,posT_negC,0,positive
Reduced Irrigation,Benefit Cost Ratio (Unspecified),2,1,-0.5,posT_negC,0,positive
Reduced Tillage+Residue/Mulch+Rotation,Variable Cost,5,1,0,posT_negC,0,positive
Reduced Fert,Marginal Rate of Return,4,2,1.23809523809524,posT_negC,0,positive
Residue/Mulch,Return to Labour,2,1,-0.5005,posT_negC,0,positive
Organic Fert,Return to Labour,2,1,-1.0005,posT_negC,0,positive
Reduced Fert,Return to Labour,4,1,0.5,posT_negC,0,positive
Reduced Fert+Intercropping,Gross Revenue,2,1,2,posT_negC,0,positive
Reduced Fert+Intercropping,Variable Cost,2,1,-1,posT_negC,0,positive
Reduced Fert+Intercropping,Gross Profit,2,1,0.5,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Gross Revenue,8,1,-1.375,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Gross Profit,8,1,-1.75,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Variable Cost,8,1,0,posT_negC,0,positive
Reduced Fert+IPM+Organic Fert+Residue/Mulch,Benefit Cost Ratio (GPVC),16,1,-0.6875,posT_negC,0,positive
Residue/Mulch,Benefit Cost Ratio (Unspecified),3,1,-1.33333333333333,posT_negC,0,positive
Reduced Tillage,Benefit Cost Ratio (Unspecified),4,1,-1.25,posT_negC,0,positive
Reduced Tillage+Residue/Mulch,Benefit Cost Ratio (Unspecified),2,1,-2,posT_negC,0,positive
Cover Crops+Residue/Mulch,Variable Cost,2,1,0,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage,Variable Cost,4,1,-1,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch+Rotation,Variable Cost,8,1,0,posT_negC,0,positive
Cover Crops+Residue/Mulch,Gross Profit,2,1,1,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage,Gross Profit,4,1,-1,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch+Rotation,Gross Profit,8,1,2,posT_negC,0,positive
Cover Crops+Residue/Mulch,Benefit Cost Ratio (GPVC),2,1,1,posT_negC,0,positive
Cover Crops+Reduced Irrigation+Reduced Tillage,Benefit Cost Ratio (GPVC),4,1,0.5,posT_negC,0,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch,Benefit Cost Ratio (GPVC),17,4,1.27148571428571,posT_negC,2,positive
Reduced Irrigation+Reduced Tillage+Residue/Mulch+Rotation,Benefit Cost Ratio (GPVC),8,1,2,posT_negC,0,positive
Agroforestry,Present Value of Benefit,2,1,2,posT_negC,0,positive
Agroforestry,Present Value of Cost,2,1,1,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Variable Cost,16,3,-0.5,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Gross Revenue,16,3,-0.391666666666667,posT_negC,0,positive
Reduced Fert+Residue/Mulch,Benefit Cost Ratio (GPVC),16,3,0.268571428571429,posT_negC,0,positive
Reduced Erosion+Reduced Fert,Variable Cost,3,1,-0.333333333333333,posT_negC,0,positive
Reduced Erosion+Reduced Fert,Gross Revenue,3,1,0.666666666666667,posT_negC,0,positive
Reduced Erosion+Reduced Fert,Gross Profit,3,1,1,posT_negC,0,positive
Reduced Erosion+Residue/Mulch,Variable Cost,6,1,1.33333333333333,posT_negC,0,positive
Reduced Erosion+Residue/Mulch,Gross Profit,6,1,1,posT_negC,0,positive
Reduced Erosion+Residue/Mulch,Benefit Cost Ratio (GPVC),12,1,0.25,posT_negC,0,positive
Organic Fert,Marginal Rate of Return,6,1,0.667333333333333,posT_negC,4,positive
Reduced Fert+Organic Fert,Marginal Rate of Return,5,1,0.4004,posT_negC,2,positive
Organic Fert+Reduced Tillage,Gross Profit,7,2,0.571428571428571,posT_negC,0,positive
Reduced Fert+Organic Fert+Residue/Mulch,Variable Cost,1,1,0,posT_negC,0,positive
Reduced Fert+Organic Fert+Residue/Mulch,Gross Revenue,1,1,0,posT_negC,0,positive
