Practice,Outcome,Observations,Studies,Sites,Value,CIlow,CIhigh,Perc,Perc.CIlow,Perc.CIhigh,Sig,Pracs_by_Out,Outs_by_Prac,SigLab
Cover Crops,Cost,59,14,15,0.18617,0.02377,0.34858,22.62614,4.24461,44.25033,0.04201,13,4,*
Cover Crops,Benefit Cost Ratio,38,11,12,-0.08111,-0.23141,0.0692,-7.47627,-20.38797,7.53057,0.3128,13,4,""
Biochar,Gross Revenue,106,9,11,0.18917,0.09838,0.27997,21.2804,10.75441,32.80809,0.00188,13,4,**
Biochar,Cost,117,10,12,0.22662,-0.02094,0.47418,26.08108,-1.56808,61.49678,0.09978,13,4,""
Biochar,Profit,130,10,12,0.16212,0.06385,0.2604,18.1642,7.10452,30.36721,0.00721,11,4,**
Biochar,Benefit Cost Ratio,189,11,13,-0.44159,-1.08959,0.20642,-35.37604,-66.1958,23.54373,0.20639,13,4,""
Reduced Erosion,Cost,30,7,7,0.18251,-0.04271,0.40773,21.30587,-3.15661,51.94752,0.16514,13,4,""
Reduced Erosion,Gross Revenue,25,7,7,0.45301,-0.07448,0.98051,58.5976,-6.41406,168.77381,0.14298,13,4,""
IPM,Gross Revenue,16,5,6,0.14481,-0.65458,0.94419,16.33631,-47.69483,158.75074,0.73689,13,4,""
IPM,Profit,24,6,7,-0.23929,-0.86267,0.38409,-15.36311,-54.62369,57.86657,0.48152,11,4,""
IPM,Cost,15,4,5,0.10669,-0.10267,0.31605,11.89883,-9.2385,37.95881,0.37262,13,4,""
IPM,Benefit Cost Ratio,17,3,4,-0.34919,-0.6771,-0.02128,-29.15742,-48.96303,-1.66597,0.13574,13,4,""
